"block_id","x","y","type"
    1,  0.004685,  0.002677,  2
    1,  0.006273,  0.002677,  2
    1,  0.008392,  0.002677,  2
    1,  0.011215,  0.002677,  2
    1,  0.014968,  0.002677,  2
    1,  0.019941,  0.002677,  2
    1,  0.026501,  0.002677,  2
    1,  0.035109,  0.002677,  2
    1,  0.046319,  0.002677,  2
    1,  0.060783,  0.002677,  2
    1,  0.079215,  0.002677,  2
    1,  0.102341,  0.002677,  2
    1,  0.130797,  0.002677,  2
    1,  0.164981,  0.002677,  2
    1,  0.204883,  0.002677,  2
    1,  0.249928,  0.002677,  2
    1,  0.298897,  0.002677,  2
    1,  0.350000,  0.002677,  2
    1,  0.401103,  0.002677,  2
    1,  0.450072,  0.002677,  2
    1,  0.495117,  0.002677,  2
    1,  0.535019,  0.002677,  2
    1,  0.569203,  0.002677,  2
    1,  0.597659,  0.002677,  2
    1,  0.620785,  0.002677,  2
    1,  0.639217,  0.002677,  2
    1,  0.653681,  0.002677,  2
    1,  0.664891,  0.002677,  2
    1,  0.673499,  0.002677,  2
    1,  0.680059,  0.002677,  2
    1,  0.685032,  0.002677,  2
    1,  0.688785,  0.002677,  2
    1,  0.691608,  0.002677,  2
    1,  0.693727,  0.002677,  2
    1,  0.695315,  0.002677,  2
    1,  0.004685,  0.004511,  2
    1,  0.006273,  0.004511,  0
    1,  0.008392,  0.004511,  0
    1,  0.011215,  0.004511,  0
    1,  0.014968,  0.004511,  0
    1,  0.019941,  0.004511,  0
    1,  0.026501,  0.004511,  0
    1,  0.035109,  0.004511,  0
    1,  0.046319,  0.004511,  0
    1,  0.060783,  0.004511,  0
    1,  0.079215,  0.004511,  0
    1,  0.102341,  0.004511,  0
    1,  0.130797,  0.004511,  0
    1,  0.164981,  0.004511,  0
    1,  0.204883,  0.004511,  0
    1,  0.249928,  0.004511,  0
    1,  0.298897,  0.004511,  0
    1,  0.350000,  0.004511,  0
    1,  0.401103,  0.004511,  0
    1,  0.450072,  0.004511,  0
    1,  0.495117,  0.004511,  0
    1,  0.535019,  0.004511,  0
    1,  0.569203,  0.004511,  0
    1,  0.597659,  0.004511,  0
    1,  0.620785,  0.004511,  0
    1,  0.639217,  0.004511,  0
    1,  0.653681,  0.004511,  0
    1,  0.664891,  0.004511,  0
    1,  0.673499,  0.004511,  0
    1,  0.680059,  0.004511,  0
    1,  0.685032,  0.004511,  0
    1,  0.688785,  0.004511,  0
    1,  0.691608,  0.004511,  0
    1,  0.693727,  0.004511,  0
    1,  0.695315,  0.004511,  3
    1,  0.004685,  0.007576,  2
    1,  0.006273,  0.007576,  0
    1,  0.008392,  0.007576,  0
    1,  0.011215,  0.007576,  0
    1,  0.014968,  0.007576,  0
    1,  0.019941,  0.007576,  0
    1,  0.026501,  0.007576,  0
    1,  0.035109,  0.007576,  0
    1,  0.046319,  0.007576,  0
    1,  0.060783,  0.007576,  0
    1,  0.079215,  0.007576,  0
    1,  0.102341,  0.007576,  0
    1,  0.130797,  0.007576,  0
    1,  0.164981,  0.007576,  0
    1,  0.204883,  0.007576,  0
    1,  0.249928,  0.007576,  0
    1,  0.298897,  0.007576,  0
    1,  0.350000,  0.007576,  0
    1,  0.401103,  0.007576,  0
    1,  0.450072,  0.007576,  0
    1,  0.495117,  0.007576,  0
    1,  0.535019,  0.007576,  0
    1,  0.569203,  0.007576,  0
    1,  0.597659,  0.007576,  0
    1,  0.620785,  0.007576,  0
    1,  0.639217,  0.007576,  0
    1,  0.653681,  0.007576,  0
    1,  0.664891,  0.007576,  0
    1,  0.673499,  0.007576,  0
    1,  0.680059,  0.007576,  0
    1,  0.685032,  0.007576,  0
    1,  0.688785,  0.007576,  0
    1,  0.691608,  0.007576,  0
    1,  0.693727,  0.007576,  0
    1,  0.695315,  0.007576,  3
    1,  0.004685,  0.012658,  2
    1,  0.006273,  0.012658,  0
    1,  0.008392,  0.012658,  0
    1,  0.011215,  0.012658,  0
    1,  0.014968,  0.012658,  0
    1,  0.019941,  0.012658,  0
    1,  0.026501,  0.012658,  0
    1,  0.035109,  0.012658,  0
    1,  0.046319,  0.012658,  0
    1,  0.060783,  0.012658,  0
    1,  0.079215,  0.012658,  0
    1,  0.102341,  0.012658,  0
    1,  0.130797,  0.012658,  0
    1,  0.164981,  0.012658,  0
    1,  0.204883,  0.012658,  0
    1,  0.249928,  0.012658,  0
    1,  0.298897,  0.012658,  0
    1,  0.350000,  0.012658,  0
    1,  0.401103,  0.012658,  0
    1,  0.450072,  0.012658,  0
    1,  0.495117,  0.012658,  0
    1,  0.535019,  0.012658,  0
    1,  0.569203,  0.012658,  0
    1,  0.597659,  0.012658,  0
    1,  0.620785,  0.012658,  0
    1,  0.639217,  0.012658,  0
    1,  0.653681,  0.012658,  0
    1,  0.664891,  0.012658,  0
    1,  0.673499,  0.012658,  0
    1,  0.680059,  0.012658,  0
    1,  0.685032,  0.012658,  0
    1,  0.688785,  0.012658,  0
    1,  0.691608,  0.012658,  0
    1,  0.693727,  0.012658,  0
    1,  0.695315,  0.012658,  3
    1,  0.004685,  0.020966,  2
    1,  0.006273,  0.020966,  0
    1,  0.008392,  0.020966,  0
    1,  0.011215,  0.020966,  0
    1,  0.014968,  0.020966,  0
    1,  0.019941,  0.020966,  0
    1,  0.026501,  0.020966,  0
    1,  0.035109,  0.020966,  0
    1,  0.046319,  0.020966,  0
    1,  0.060783,  0.020966,  0
    1,  0.079215,  0.020966,  0
    1,  0.102341,  0.020966,  0
    1,  0.130797,  0.020966,  0
    1,  0.164981,  0.020966,  0
    1,  0.204883,  0.020966,  0
    1,  0.249928,  0.020966,  0
    1,  0.298897,  0.020966,  0
    1,  0.350000,  0.020966,  0
    1,  0.401103,  0.020966,  0
    1,  0.450072,  0.020966,  0
    1,  0.495117,  0.020966,  0
    1,  0.535019,  0.020966,  0
    1,  0.569203,  0.020966,  0
    1,  0.597659,  0.020966,  0
    1,  0.620785,  0.020966,  0
    1,  0.639217,  0.020966,  0
    1,  0.653681,  0.020966,  0
    1,  0.664891,  0.020966,  0
    1,  0.673499,  0.020966,  0
    1,  0.680059,  0.020966,  0
    1,  0.685032,  0.020966,  0
    1,  0.688785,  0.020966,  0
    1,  0.691608,  0.020966,  0
    1,  0.693727,  0.020966,  0
    1,  0.695315,  0.020966,  3
    1,  0.004685,  0.034245,  2
    1,  0.006273,  0.034245,  0
    1,  0.008392,  0.034245,  0
    1,  0.011215,  0.034245,  0
    1,  0.014968,  0.034245,  0
    1,  0.019941,  0.034245,  0
    1,  0.026501,  0.034245,  0
    1,  0.035109,  0.034245,  0
    1,  0.046319,  0.034245,  0
    1,  0.060783,  0.034245,  0
    1,  0.079215,  0.034245,  0
    1,  0.102341,  0.034245,  0
    1,  0.130797,  0.034245,  0
    1,  0.164981,  0.034245,  0
    1,  0.204883,  0.034245,  0
    1,  0.249928,  0.034245,  0
    1,  0.298897,  0.034245,  0
    1,  0.350000,  0.034245,  0
    1,  0.401103,  0.034245,  0
    1,  0.450072,  0.034245,  0
    1,  0.495117,  0.034245,  0
    1,  0.535019,  0.034245,  0
    1,  0.569203,  0.034245,  0
    1,  0.597659,  0.034245,  0
    1,  0.620785,  0.034245,  0
    1,  0.639217,  0.034245,  0
    1,  0.653681,  0.034245,  0
    1,  0.664891,  0.034245,  0
    1,  0.673499,  0.034245,  0
    1,  0.680059,  0.034245,  0
    1,  0.685032,  0.034245,  0
    1,  0.688785,  0.034245,  0
    1,  0.691608,  0.034245,  0
    1,  0.693727,  0.034245,  0
    1,  0.695315,  0.034245,  3
    1,  0.004685,  0.054721,  2
    1,  0.006273,  0.054721,  0
    1,  0.008392,  0.054721,  0
    1,  0.011215,  0.054721,  0
    1,  0.014968,  0.054721,  0
    1,  0.019941,  0.054721,  0
    1,  0.026501,  0.054721,  0
    1,  0.035109,  0.054721,  0
