"x","y","psi_numerical","psi_exact","error"
  0.0265,  0.1738,  0.6319530E-01,  0.7106410E-01, -0.7868803E-02
  0.0351,  0.1738,  0.8309900E-01,  0.9406298E-01, -0.1096398E-01
  0.0463,  0.1738,  0.1089312E+00,  0.1239123E+00, -0.1498107E-01
  0.0608,  0.1738,  0.1420581E+00,  0.1621894E+00, -0.2013132E-01
  0.0792,  0.1738,  0.1838499E+00,  0.2104744E+00, -0.2662454E-01
  0.1023,  0.1738,  0.2354145E+00,  0.2700403E+00, -0.3462581E-01
  0.1308,  0.1738,  0.2971590E+00,  0.3413447E+00, -0.4418565E-01
  0.1650,  0.1738,  0.3682006E+00,  0.4233487E+00, -0.5514805E-01
  0.2049,  0.1738,  0.4457759E+00,  0.5128366E+00, -0.6706064E-01
  0.2499,  0.1738,  0.5249831E+00,  0.6041189E+00, -0.7913577E-01
  0.2989,  0.1738,  0.5992757E+00,  0.6895986E+00, -0.9032286E-01
  0.3500,  0.1738,  0.6618859E+00,  0.7614067E+00, -0.9952081E-01
  0.4011,  0.1738,  0.7077504E+00,  0.8136322E+00, -0.1058818E+00
  0.4501,  0.1738,  0.7349831E+00,  0.8440561E+00, -0.1090729E+00
  0.4951,  0.1738,  0.7451298E+00,  0.8544462E+00, -0.1093163E+00
  0.5350,  0.1738,  0.7421373E+00,  0.8493805E+00, -0.1072432E+00
  0.5692,  0.1738,  0.7307705E+00,  0.8344307E+00, -0.1036603E+00
  0.5977,  0.1738,  0.7153036E+00,  0.8146426E+00, -0.9933898E-01
  0.6208,  0.1738,  0.6988711E+00,  0.7937589E+00, -0.9488784E-01
  0.6392,  0.1738,  0.6833972E+00,  0.7741092E+00, -0.9071197E-01
  0.6537,  0.1738,  0.6698382E+00,  0.7568699E+00, -0.8703170E-01
  0.6649,  0.1738,  0.6585022E+00,  0.7424307E+00, -0.8392848E-01
  0.6735,  0.1738,  0.6493240E+00,  0.7307186E+00, -0.8139453E-01
  0.6801,  0.1738,  0.6420588E+00,  0.7214325E+00, -0.7937368E-01
  0.6850,  0.1738,  0.6363998E+00,  0.7141897E+00, -0.7778992E-01
  0.6888,  0.1738,  0.6320431E+00,  0.7086078E+00, -0.7656466E-01
  0.6916,  0.1738,  0.6287174E+00,  0.7043432E+00, -0.7562579E-01
  0.6937,  0.1738,  0.6261946E+00,  0.7011061E+00, -0.7491150E-01
  0.6953,  0.1738,  0.6242896E+00,  0.6986605E+00, -0.7437093E-01
  0.0047,  0.2262,  0.1115646E-01,  0.1115646E-01, -0.1146670E-12
  0.0063,  0.2262,  0.1415951E-01,  0.1493671E-01, -0.7771979E-03
  0.0084,  0.2262,  0.1816738E-01,  0.1998194E-01, -0.1814556E-02
  0.0112,  0.2262,  0.2350615E-01,  0.2670269E-01, -0.3196545E-02
  0.0150,  0.2262,  0.3059950E-01,  0.3563245E-01, -0.5032950E-02
  0.0199,  0.2262,  0.3999134E-01,  0.4745603E-01, -0.7464691E-02
  0.0265,  0.2262,  0.5236784E-01,  0.6303727E-01, -0.1066943E-01
  0.0351,  0.2262,  0.6857304E-01,  0.8343838E-01, -0.1486534E-01
  0.0463,  0.2262,  0.8960646E-01,  0.1099162E+00, -0.2030972E-01
  0.0608,  0.2262,  0.1165826E+00,  0.1438698E+00, -0.2728713E-01
  0.0792,  0.2262,  0.1506222E+00,  0.1867009E+00, -0.3607870E-01
  0.1023,  0.2262,  0.1926353E+00,  0.2395387E+00, -0.4690339E-01
  0.1308,  0.2262,  0.2429641E+00,  0.3027891E+00, -0.5982497E-01
  0.1650,  0.2262,  0.3008992E+00,  0.3755306E+00, -0.7463143E-01
  0.2049,  0.2262,  0.3641935E+00,  0.4549107E+00, -0.9071722E-01
  0.2499,  0.2262,  0.4288501E+00,  0.5358825E+00, -0.1070324E+00
  0.2989,  0.2262,  0.4895274E+00,  0.6117071E+00, -0.1221797E+00
  0.3500,  0.2262,  0.5407038E+00,  0.6754043E+00, -0.1347005E+00
  0.4011,  0.2262,  0.5782517E+00,  0.7217308E+00, -0.1434791E+00
  0.4501,  0.2262,  0.6006382E+00,  0.7487183E+00, -0.1480801E+00
  0.4951,  0.2262,  0.6091286E+00,  0.7579348E+00, -0.1488062E+00
  0.5350,  0.2262,  0.6069421E+00,  0.7534413E+00, -0.1464993E+00
  0.5692,  0.2262,  0.5979566E+00,  0.7401802E+00, -0.1422236E+00
  0.5977,  0.2262,  0.5856435E+00,  0.7226271E+00, -0.1369837E+00
  0.6208,  0.2262,  0.5725411E+00,  0.7041023E+00, -0.1315612E+00
  0.6392,  0.2262,  0.5602031E+00,  0.6866721E+00, -0.1264689E+00
  0.6537,  0.2262,  0.5493981E+00,  0.6713800E+00, -0.1219819E+00
  0.6649,  0.2262,  0.5403715E+00,  0.6585717E+00, -0.1182002E+00
  0.6735,  0.2262,  0.5330692E+00,  0.6481825E+00, -0.1151133E+00
  0.6801,  0.2262,  0.5272933E+00,  0.6399453E+00, -0.1126520E+00
  0.6850,  0.2262,  0.5227975E+00,  0.6335206E+00, -0.1107231E+00
  0.6888,  0.2262,  0.5193383E+00,  0.6285691E+00, -0.1092308E+00
  0.6916,  0.2262,  0.5166990E+00,  0.6247863E+00, -0.1080873E+00
  0.6937,  0.2262,  0.5146976E+00,  0.6219148E+00, -0.1072172E+00
  0.6953,  0.2262,  0.5131869E+00,  0.6197455E+00, -0.1065586E+00
  0.0047,  0.2751,  0.9555387E-02,  0.9555387E-02,  0.3176279E-14
  0.0063,  0.2751,  0.1180106E-01,  0.1279313E-01, -0.9920716E-03
  0.0084,  0.2751,  0.1479812E-01,  0.1711431E-01, -0.2316197E-02
  0.0112,  0.2751,  0.1879039E-01,  0.2287057E-01, -0.4080183E-02
  0.0150,  0.2751,  0.2409476E-01,  0.3051881E-01, -0.6424055E-02
  0.0199,  0.2751,  0.3111818E-01,  0.4064558E-01, -0.9527401E-02
  0.0265,  0.2751,  0.4037445E-01,  0.5399075E-01, -0.1361630E-01
  0.0351,  0.2751,  0.5249651E-01,  0.7146408E-01, -0.1896757E-01
  0.0463,  0.2751,  0.6823583E-01,  0.9414203E-01, -0.2590620E-01
  0.0608,  0.2751,  0.8843408E-01,  0.1232229E+00, -0.3478883E-01
  0.0792,  0.2751,  0.1139432E+00,  0.1599074E+00, -0.4596419E-01
  0.1023,  0.2751,  0.1454619E+00,  0.2051624E+00, -0.5970047E-01
  0.1308,  0.2751,  0.1832626E+00,  0.2593356E+00, -0.7607300E-01
  0.1650,  0.2751,  0.2268210E+00,  0.3216379E+00, -0.9481698E-01
  0.2049,  0.2751,  0.2744467E+00,  0.3896261E+00, -0.1151794E+00
  0.2499,  0.2751,  0.3231263E+00,  0.4589776E+00, -0.1358513E+00
  0.2989,  0.2751,  0.3688323E+00,  0.5239205E+00, -0.1550882E+00
  0.3500,  0.2751,  0.4074045E+00,  0.5784766E+00, -0.1710720E+00
  0.4011,  0.2751,  0.4357355E+00,  0.6181547E+00, -0.1824192E+00
  0.4501,  0.2751,  0.4526735E+00,  0.6412692E+00, -0.1885957E+00
  0.4951,  0.2751,  0.4591741E+00,  0.6491630E+00, -0.1899889E+00
  0.5350,  0.2751,  0.4576618E+00,  0.6453144E+00, -0.1876526E+00
  0.5692,  0.2751,  0.4510537E+00,  0.6339564E+00, -0.1829027E+00
  0.5977,  0.2751,  0.4419570E+00,  0.6189224E+00, -0.1769654E+00
  0.6208,  0.2751,  0.4322739E+00,  0.6030561E+00, -0.1707822E+00
  0.6392,  0.2751,  0.4231640E+00,  0.5881272E+00, -0.1649632E+00
  0.6537,  0.2751,  0.4151971E+00,  0.5750298E+00, -0.1598327E+00
  0.6649,  0.2751,  0.4085513E+00,  0.5640596E+00, -0.1555083E+00
  0.6735,  0.2751,  0.4031825E+00,  0.5551613E+00, -0.1519788E+00
  0.6801,  0.2751,  0.3989411E+00,  0.5481063E+00, -0.1491652E+00
  0.6850,  0.2751,  0.3956429E+00,  0.5426036E+00, -0.1469607E+00
  0.6888,  0.2751,  0.3931072E+00,  0.5383627E+00, -0.1452555E+00
  0.6916,  0.2751,  0.3911738E+00,  0.5351227E+00, -0.1439490E+00
  0.6937,  0.2751,  0.3897083E+00,  0.5326634E+00, -0.1429550E+00
  0.6953,  0.2751,  0.3886025E+00,  0.5308053E+00, -0.1422029E+00
  0.0047,  0.3154,  0.8065257E-02,  0.8065257E-02,  0.1192449E-13
  0.0063,  0.3154,  0.9601346E-02,  0.1079808E-01, -0.1196737E-02
  0.0084,  0.3154,  0.1165137E-01,  0.1444540E-01, -0.2794029E-02
  0.0112,  0.3154,  0.1438226E-01,  0.1930398E-01, -0.4921726E-02
  0.0150,  0.3154,  0.1801121E-01,  0.2575951E-01, -0.7748293E-02
  0.0199,  0.3154,  0.2281786E-01,  0.3430704E-01, -0.1148918E-01
  0.0265,  0.3154,  0.2915682E-01,  0.4557107E-01, -0.1641425E-01
  0.0351,  0.3154,  0.3746823E-01,  0.6031950E-01, -0.2285127E-01
  0.0463,  0.3154,  0.4828034E-01,  0.7946090E-01, -0.3118056E-01
  0.0608,  0.3154,  0.6219226E-01,  0.1040067E+00, -0.4181445E-01
  0.0792,  0.3154,  0.7981667E-01,  0.1349704E+00, -0.5515368E-01
  0.1023,  0.3154,  0.1016588E+00,  0.1731680E+00, -0.7150922E-01
  0.1308,  0.3154,  0.1279178E+00,  0.2188931E+00, -0.9097535E-01
  0.1650,  0.3154,  0.1582265E+00,  0.2714796E+00, -0.1132531E+00
  0.2049,  0.3154,  0.1913982E+00,  0.3288652E+00, -0.1374670E+00
  0.2499,  0.3154,  0.2253232E+00,  0.3874016E+00, -0.1620784E+00
  0.2989,  0.3154,  0.2571874E+00,  0.4422169E+00, -0.1850296E+00
  0.3500,  0.3154,  0.2840873E+00,  0.4882651E+00, -0.2041778E+00
  0.4011,  0.3154,  0.3038561E+00,  0.5217556E+00, -0.2178995E+00
  0.4501,  0.3154,  0.3156916E+00,  0.5412655E+00, -0.2255739E+00
  0.4951,  0.3154,  0.3202612E+00,  0.5479283E+00, -0.2276670E+00
  0.5350,  0.3154,  0.3192563E+00,  0.5446798E+00, -0.2254235E+00
  0.5692,  0.3154,  0.3147107E+00,  0.5350930E+00, -0.2203824E+00
  0.5977,  0.3154,  0.3084409E+00,  0.5224036E+00, -0.2139627E+00
  0.6208,  0.3154,  0.3017705E+00,  0.5090115E+00, -0.2072410E+00
  0.6392,  0.3154,  0.2955042E+00,  0.4964108E+00, -0.2009066E+00
  0.6537,  0.3154,  0.2900344E+00,  0.4853558E+00, -0.1953215E+00
  0.6649,  0.3154,  0.2854809E+00,  0.4760964E+00, -0.1906155E+00
  0.6735,  0.3154,  0.2818098E+00,  0.4685858E+00, -0.1867760E+00
  0.6801,  0.3154,  0.2789149E+00,  0.4626310E+00, -0.1837161E+00
  0.6850,  0.3154,  0.2766673E+00,  0.4579864E+00, -0.1813191E+00
  0.6888,  0.3154,  0.2749417E+00,  0.4544069E+00, -0.1794652E+00
  0.6916,  0.3154,  0.2736274E+00,  0.4516722E+00, -0.1780448E+00
  0.6937,  0.3154,  0.2726320E+00,  0.4495963E+00, -0.1769643E+00
  0.6953,  0.3154,  0.2718815E+00,  0.4480281E+00, -0.1761466E+00
  0.0047,  0.3453,  0.6875502E-02,  0.6875502E-02, -0.1340074E-14
  0.0063,  0.3453,  0.7824767E-02,  0.9205192E-02, -0.1380425E-02
  0.0084,  0.3453,  0.9091901E-02,  0.1231447E-01, -0.3222567E-02
  0.0112,  0.3453,  0.1078078E-01,  0.1645633E-01, -0.5675555E-02
  0.0150,  0.3453,  0.1302791E-01,  0.2195957E-01, -0.8931653E-02
  0.0199,  0.3453,  0.1601190E-01,  0.2924620E-01, -0.1323430E-01
  0.0265,  0.3453,  0.1996484E-01,  0.3884861E-01, -0.1888377E-01
  0.0351,  0.3453,  0.2518339E-01,  0.5142141E-01, -0.2623802E-01
  0.0463,  0.3453,  0.3203207E-01,  0.6773914E-01, -0.3570707E-01
  0.0608,  0.3453,  0.4092654E-01,  0.8866405E-01, -0.4773751E-01
  0.0792,  0.3453,  0.5228510E-01,  0.1150601E+00, -0.6277496E-01
  0.1023,  0.3453,  0.6644186E-01,  0.1476229E+00, -0.8118107E-01
  0.1308,  0.3453,  0.8351900E-01,  0.1866029E+00, -0.1030839E+00
  0.1650,  0.3453,  0.1032644E+00,  0.2314320E+00, -0.1281676E+00
  0.2049,  0.3453,  0.1248931E+00,  0.2803523E+00, -0.1554592E+00
  0.2499,  0.3453,  0.1470214E+00,  0.3302536E+00, -0.1832322E+00
  0.2989,  0.3453,  0.1678095E+00,  0.3769828E+00, -0.2091733E+00
  0.3500,  0.3453,  0.1853615E+00,  0.4162382E+00, -0.2308767E+00
  0.4011,  0.3453,  0.1982629E+00,  0.4447883E+00, -0.2465253E+00
  0.4501,  0.3453,  0.2059907E+00,  0.4614201E+00, -0.2554294E+00
  0.4951,  0.3453,  0.2089806E+00,  0.4671000E+00, -0.2581194E+00
  0.5350,  0.3453,  0.2083368E+00,  0.4643308E+00, -0.2559940E+00
  0.5692,  0.3453,  0.2053867E+00,  0.4561582E+00, -0.2507715E+00
  0.5977,  0.3453,  0.2013161E+00,  0.4453406E+00, -0.2440245E+00
  0.6208,  0.3453,  0.1969885E+00,  0.4339241E+00, -0.2369357E+00
  0.6392,  0.3453,  0.1929281E+00,  0.4231822E+00, -0.2302541E+00
  0.6537,  0.3453,  0.1893898E+00,  0.4137580E+00, -0.2243683E+00
  0.6649,  0.3453,  0.1864499E+00,  0.4058645E+00, -0.2194146E+00
  0.6735,  0.3453,  0.1840845E+00,  0.3994619E+00, -0.2153774E+00
  0.6801,  0.3453,  0.1822229E+00,  0.3943855E+00, -0.2121625E+00
  0.6850,  0.3453,  0.1807804E+00,  0.3904261E+00, -0.2096457E+00
  0.6888,  0.3453,  0.1796746E+00,  0.3873746E+00, -0.2077000E+00
  0.6916,  0.3453,  0.1788335E+00,  0.3850433E+00, -0.2062097E+00
  0.6937,  0.3453,  0.1781973E+00,  0.3832736E+00, -0.2050763E+00
  0.6953,  0.3453,  0.1777180E+00,  0.3819367E+00, -0.2042187E+00
  0.0047,  0.3658,  0.6024762E-02,  0.6024762E-02, -0.8971990E-14
  0.0063,  0.3658,  0.6515828E-02,  0.8066189E-02, -0.1550360E-02
  0.0084,  0.3658,  0.7172372E-02,  0.1079074E-01, -0.3618366E-02
  0.0112,  0.3658,  0.8052326E-02,  0.1442011E-01, -0.6367785E-02
  0.0150,  0.3658,  0.9237057E-02,  0.1924240E-01, -0.1000534E-01
  0.0199,  0.3658,  0.1084277E-01,  0.2562742E-01, -0.1478466E-01
  0.0265,  0.3658,  0.1303226E-01,  0.3404168E-01, -0.2100942E-01
  0.0351,  0.3658,  0.1601908E-01,  0.4505878E-01, -0.2903971E-01
  0.0463,  0.3658,  0.2005667E-01,  0.5935744E-01, -0.3930077E-01
  0.0608,  0.3658,  0.2541416E-01,  0.7769321E-01, -0.5227905E-01
  0.0792,  0.3658,  0.3234405E-01,  0.1008231E+00, -0.6847906E-01
  0.1023,  0.3658,  0.4103739E-01,  0.1293568E+00, -0.8831942E-01
  0.1308,  0.3658,  0.5155462E-01,  0.1635136E+00, -0.1119590E+00
  0.1650,  0.3658,  0.6372970E-01,  0.2027958E+00, -0.1390661E+00
  0.2049,  0.3658,  0.7707229E-01,  0.2456630E+00, -0.1685907E+00
  0.2499,  0.3658,  0.9072559E-01,  0.2893897E+00, -0.1986642E+00
  0.2989,  0.3658,  0.1035530E+00,  0.3303369E+00, -0.2267839E+00
  0.3500,  0.3658,  0.1143838E+00,  0.3647350E+00, -0.2503512E+00
  0.4011,  0.3658,  0.1223451E+00,  0.3897524E+00, -0.2674073E+00
  0.4501,  0.3658,  0.1271140E+00,  0.4043263E+00, -0.2772123E+00
  0.4951,  0.3658,  0.1289596E+00,  0.4093035E+00, -0.2803438E+00
  0.5350,  0.3658,  0.1285634E+00,  0.4068769E+00, -0.2783135E+00
  0.5692,  0.3658,  0.1267448E+00,  0.3997155E+00, -0.2729707E+00
  0.5977,  0.3658,  0.1242359E+00,  0.3902365E+00, -0.2660005E+00
  0.6208,  0.3658,  0.1215699E+00,  0.3802326E+00, -0.2586627E+00
  0.6392,  0.3658,  0.1190703E+00,  0.3708198E+00, -0.2517495E+00
  0.6537,  0.3658,  0.1168941E+00,  0.3625617E+00, -0.2456676E+00
  0.6649,  0.3658,  0.1150881E+00,  0.3556449E+00, -0.2405569E+00
  0.6735,  0.3658,  0.1136368E+00,  0.3500345E+00, -0.2363977E+00
  0.6801,  0.3658,  0.1124963E+00,  0.3455862E+00, -0.2330900E+00
  0.6850,  0.3658,  0.1116136E+00,  0.3421167E+00, -0.2305032E+00
  0.6888,  0.3658,  0.1109377E+00,  0.3394428E+00, -0.2285051E+00
  0.6916,  0.3658,  0.1104242E+00,  0.3374000E+00, -0.2269758E+00
  0.6937,  0.3658,  0.1100361E+00,  0.3358493E+00, -0.2258132E+00
  0.6953,  0.3658,  0.1097439E+00,  0.3346778E+00, -0.2249339E+00
  0.0047,  0.3790,  0.5459482E-02,  0.5459482E-02, -0.1578859E-13
  0.0063,  0.3790,  0.5572892E-02,  0.7309370E-02, -0.1736478E-02
  0.0084,  0.3790,  0.5732033E-02,  0.9778285E-02, -0.4046252E-02
  0.0112,  0.3790,  0.5971389E-02,  0.1306713E-01, -0.7095740E-02
  0.0150,  0.3790,  0.6357378E-02,  0.1743696E-01, -0.1107958E-01
  0.0199,  0.3790,  0.6996273E-02,  0.2322290E-01, -0.1622663E-01
  0.0265,  0.3790,  0.8026005E-02,  0.3084768E-01, -0.2282168E-01
  0.0351,  0.3790,  0.9595755E-02,  0.4083109E-01, -0.3123534E-01
  0.0463,  0.3790,  0.1185101E-01,  0.5378817E-01, -0.4193716E-01
  0.0608,  0.3790,  0.1493004E-01,  0.7040356E-01, -0.5547352E-01
  0.0792,  0.3790,  0.1895998E-01,  0.9136327E-01, -0.7240329E-01
  0.1023,  0.3790,  0.2403802E-01,  0.1172198E+00, -0.9318176E-01
  0.1308,  0.3790,  0.3019122E-01,  0.1481717E+00, -0.1179805E+00
  0.1650,  0.3790,  0.3731831E-01,  0.1837682E+00, -0.1464499E+00
  0.2049,  0.3790,  0.4513032E-01,  0.2226134E+00, -0.1774830E+00
  0.2499,  0.3790,  0.5312477E-01,  0.2622374E+00, -0.2091127E+00
  0.2989,  0.3790,  0.6063573E-01,  0.2993427E+00, -0.2387069E+00
  0.3500,  0.3790,  0.6697759E-01,  0.3305133E+00, -0.2635357E+00
  0.4011,  0.3790,  0.7163909E-01,  0.3531835E+00, -0.2815444E+00
  0.4501,  0.3790,  0.7443112E-01,  0.3663900E+00, -0.2919588E+00
  0.4951,  0.3790,  0.7551127E-01,  0.3709001E+00, -0.2953888E+00
  0.5350,  0.3790,  0.7527862E-01,  0.3687012E+00, -0.2934226E+00
  0.5692,  0.3790,  0.7421318E-01,  0.3622118E+00, -0.2879986E+00
  0.5977,  0.3790,  0.7274371E-01,  0.3536221E+00, -0.2808784E+00
  0.6208,  0.3790,  0.7118256E-01,  0.3445568E+00, -0.2733743E+00
  0.6392,  0.3790,  0.6971930E-01,  0.3360272E+00, -0.2663080E+00
  0.6537,  0.3790,  0.6844584E-01,  0.3285440E+00, -0.2600981E+00
  0.6649,  0.3790,  0.6738951E-01,  0.3222762E+00, -0.2548866E+00
  0.6735,  0.3790,  0.6654116E-01,  0.3171921E+00, -0.2506510E+00
  0.6801,  0.3790,  0.6587480E-01,  0.3131612E+00, -0.2472864E+00
  0.6850,  0.3790,  0.6535940E-01,  0.3100173E+00, -0.2446579E+00
  0.6888,  0.3790,  0.6496501E-01,  0.3075942E+00, -0.2426292E+00
  0.6916,  0.3790,  0.6466549E-01,  0.3057431E+00, -0.2410776E+00
  0.6937,  0.3790,  0.6443921E-01,  0.3043379E+00, -0.2398987E+00
  0.6953,  0.3790,  0.6426892E-01,  0.3032763E+00, -0.2390074E+00
  0.0047,  0.3873,  0.5100923E-02,  0.5100923E-02, -0.6628378E-14
  0.0063,  0.3873,  0.4830572E-02,  0.6829316E-02, -0.1998744E-02
  0.0084,  0.3873,  0.4507633E-02,  0.9136082E-02, -0.4628449E-02
  0.0112,  0.3873,  0.4211392E-02,  0.1220893E-01, -0.7997533E-02
  0.0150,  0.3873,  0.4052980E-02,  0.1629176E-01, -0.1223878E-01
  0.0199,  0.3873,  0.4140996E-02,  0.2169770E-01, -0.1755671E-01
  0.0265,  0.3873,  0.4550345E-02,  0.2882171E-01, -0.2427137E-01
  0.0351,  0.3873,  0.5332588E-02,  0.3814945E-01, -0.3281686E-01
  0.0463,  0.3873,  0.6534865E-02,  0.5025555E-01, -0.4372068E-01
  0.0608,  0.3873,  0.8210636E-02,  0.6577970E-01, -0.5756907E-01
  0.0792,  0.3873,  0.1041787E-01,  0.8536285E-01, -0.7494498E-01
  0.1023,  0.3873,  0.1320462E-01,  0.1095212E+00, -0.9631657E-01
  0.1308,  0.3873,  0.1658347E-01,  0.1384403E+00, -0.1218569E+00
  0.1650,  0.3873,  0.2049786E-01,  0.1716990E+00, -0.1512011E+00
  0.2049,  0.3873,  0.2478867E-01,  0.2079929E+00, -0.1832042E+00
  0.2499,  0.3873,  0.2917976E-01,  0.2450146E+00, -0.2158348E+00
  0.2989,  0.3873,  0.3330527E-01,  0.2796829E+00, -0.2463776E+00
  0.3500,  0.3873,  0.3678857E-01,  0.3088064E+00, -0.2720178E+00
  0.4011,  0.3873,  0.3934883E-01,  0.3299876E+00, -0.2906388E+00
  0.4501,  0.3873,  0.4088215E-01,  0.3423268E+00, -0.3014446E+00
  0.4951,  0.3873,  0.4147508E-01,  0.3465407E+00, -0.3050656E+00
  0.5350,  0.3873,  0.4134686E-01,  0.3444862E+00, -0.3031393E+00
  0.5692,  0.3873,  0.4076117E-01,  0.3384230E+00, -0.2976618E+00
  0.5977,  0.3873,  0.3995357E-01,  0.3303974E+00, -0.2904439E+00
  0.6208,  0.3873,  0.3909567E-01,  0.3219276E+00, -0.2828319E+00
  0.6392,  0.3873,  0.3829163E-01,  0.3139582E+00, -0.2756665E+00
  0.6537,  0.3873,  0.3759198E-01,  0.3069664E+00, -0.2693744E+00
  0.6649,  0.3873,  0.3701170E-01,  0.3011102E+00, -0.2640985E+00
  0.6735,  0.3873,  0.3654575E-01,  0.2963601E+00, -0.2598143E+00
  0.6801,  0.3873,  0.3617984E-01,  0.2925939E+00, -0.2564140E+00
  0.6850,  0.3873,  0.3589687E-01,  0.2896564E+00, -0.2537595E+00
  0.6888,  0.3873,  0.3568038E-01,  0.2873925E+00, -0.2517121E+00
  0.6916,  0.3873,  0.3551600E-01,  0.2856629E+00, -0.2501469E+00
  0.6937,  0.3873,  0.3539183E-01,  0.2843500E+00, -0.2489582E+00
  0.6953,  0.3873,  0.3529840E-01,  0.2833582E+00, -0.2480598E+00
  0.0047,  0.3924,  0.4879882E-02,  0.4879882E-02, -0.9350160E-15
  0.0063,  0.3924,  0.4011626E-02,  0.6533378E-02, -0.2521753E-02
  0.0084,  0.3924,  0.3174856E-02,  0.8740184E-02, -0.5565328E-02
  0.0112,  0.3924,  0.2535847E-02,  0.1167987E-01, -0.9144023E-02
  0.0150,  0.3924,  0.2194170E-02,  0.1558579E-01, -0.1339161E-01
  0.0199,  0.3924,  0.2119052E-02,  0.2075747E-01, -0.1863842E-01
  0.0265,  0.3924,  0.2271641E-02,  0.2757277E-01, -0.2530113E-01
  0.0351,  0.3924,  0.2638377E-02,  0.3649630E-01, -0.3385793E-01
  0.0463,  0.3924,  0.3224029E-02,  0.4807780E-01, -0.4485377E-01
  0.0608,  0.3924,  0.4047211E-02,  0.6292924E-01, -0.5888203E-01
  0.0792,  0.3924,  0.5133845E-02,  0.8166379E-01, -0.7652994E-01
  0.1023,  0.3924,  0.6506676E-02,  0.1047753E+00, -0.9826858E-01
  0.1308,  0.3924,  0.8171523E-02,  0.1324412E+00, -0.1242697E+00
  0.1650,  0.3924,  0.1010034E-01,  0.1642587E+00, -0.1541583E+00
  0.2049,  0.3924,  0.1221467E-01,  0.1989799E+00, -0.1867652E+00
  0.2499,  0.3924,  0.1437840E-01,  0.2343973E+00, -0.2200189E+00
  0.2989,  0.3924,  0.1641126E-01,  0.2675633E+00, -0.2511520E+00
  0.3500,  0.3924,  0.1812764E-01,  0.2954247E+00, -0.2772971E+00
  0.4011,  0.3924,  0.1938915E-01,  0.3156881E+00, -0.2962990E+00
  0.4501,  0.3924,  0.2014460E-01,  0.3274926E+00, -0.3073480E+00
  0.4951,  0.3924,  0.2043664E-01,  0.3315239E+00, -0.3110873E+00
  0.5350,  0.3924,  0.2037329E-01,  0.3295584E+00, -0.3091852E+00
  0.5692,  0.3924,  0.2008449E-01,  0.3237579E+00, -0.3036735E+00
  0.5977,  0.3924,  0.1968633E-01,  0.3160802E+00, -0.2963938E+00
  0.6208,  0.3924,  0.1926340E-01,  0.3079773E+00, -0.2887139E+00
  0.6392,  0.3924,  0.1886703E-01,  0.3003533E+00, -0.2814862E+00
  0.6537,  0.3924,  0.1852213E-01,  0.2936645E+00, -0.2751423E+00
  0.6649,  0.3924,  0.1823608E-01,  0.2880620E+00, -0.2698260E+00
  0.6735,  0.3924,  0.1800639E-01,  0.2835178E+00, -0.2655114E+00
  0.6801,  0.3924,  0.1782603E-01,  0.2799148E+00, -0.2620888E+00
  0.6850,  0.3924,  0.1768656E-01,  0.2771046E+00, -0.2594180E+00
  0.6888,  0.3924,  0.1757986E-01,  0.2749388E+00, -0.2573589E+00
  0.6916,  0.3924,  0.1749884E-01,  0.2732842E+00, -0.2557853E+00
  0.6937,  0.3924,  0.1743765E-01,  0.2720282E+00, -0.2545905E+00
  0.6953,  0.3924,  0.1739161E-01,  0.2710793E+00, -0.2536877E+00
  0.0047,  0.3955,  0.4745945E-02,  0.4745945E-02, -0.3864964E-14
  0.0063,  0.3955,  0.2694783E-02,  0.6354058E-02, -0.3659274E-02
  0.0084,  0.3955,  0.1534907E-02,  0.8500294E-02, -0.6965387E-02
  0.0112,  0.3955,  0.1035498E-02,  0.1135930E-01, -0.1032380E-01
  0.0150,  0.3955,  0.8536956E-03,  0.1515800E-01, -0.1430431E-01
  0.0199,  0.3955,  0.8067473E-03,  0.2018774E-01, -0.1938099E-01
  0.0265,  0.3955,  0.8550604E-03,  0.2681598E-01, -0.2596092E-01
  0.0351,  0.3955,  0.9903355E-03,  0.3549460E-01, -0.3450426E-01
  0.0463,  0.3955,  0.1209750E-02,  0.4675822E-01, -0.4554847E-01
  0.0608,  0.3955,  0.1518417E-02,  0.6120204E-01, -0.5968362E-01
  0.0792,  0.3955,  0.1925952E-02,  0.7942237E-01, -0.7749642E-01
  0.1023,  0.3955,  0.2440933E-02,  0.1018995E+00, -0.9945858E-01
  0.1308,  0.3955,  0.3065502E-02,  0.1288062E+00, -0.1257407E+00
  0.1650,  0.3955,  0.3789106E-02,  0.1597503E+00, -0.1559612E+00
  0.2049,  0.3955,  0.4582301E-02,  0.1935185E+00, -0.1889362E+00
  0.2499,  0.3955,  0.5394026E-02,  0.2279638E+00, -0.2225698E+00
  0.2989,  0.3955,  0.6156648E-02,  0.2602195E+00, -0.2540629E+00
  0.3500,  0.3955,  0.6800539E-02,  0.2873162E+00, -0.2805157E+00
  0.4011,  0.3955,  0.7273778E-02,  0.3070235E+00, -0.2997497E+00
  0.4501,  0.3955,  0.7557159E-02,  0.3185039E+00, -0.3109468E+00
  0.4951,  0.3955,  0.7666680E-02,  0.3224246E+00, -0.3147579E+00
  0.5350,  0.3955,  0.7642869E-02,  0.3205131E+00, -0.3128702E+00
  0.5692,  0.3955,  0.7534475E-02,  0.3148718E+00, -0.3073373E+00
