"x","y","psi_numerical","psi_exact","error"
  0.0199,  0.0076,  0.6243781E-01,  0.6258718E-01, -0.1493748E-03
  0.0265,  0.0076,  0.8292293E-01,  0.8313644E-01, -0.2135151E-03
  0.0351,  0.0076,  0.1097449E+00,  0.1100424E+00, -0.2975103E-03
  0.0463,  0.0076,  0.1445560E+00,  0.1449625E+00, -0.4065377E-03
  0.0608,  0.0076,  0.1891957E+00,  0.1897420E+00, -0.5463503E-03
  0.0792,  0.0076,  0.2455071E+00,  0.2462298E+00, -0.7226840E-03
  0.1023,  0.0076,  0.3149746E+00,  0.3159147E+00, -0.9400937E-03
  0.1308,  0.0076,  0.3981321E+00,  0.3993322E+00, -0.1200062E-02
  0.1650,  0.0076,  0.4937685E+00,  0.4952670E+00, -0.1498467E-02
  0.2049,  0.0076,  0.5981340E+00,  0.5999570E+00, -0.1823046E-02
  0.2499,  0.0076,  0.7045942E+00,  0.7067464E+00, -0.2152146E-02
  0.2989,  0.0076,  0.8042909E+00,  0.8067473E+00, -0.2456456E-02
  0.3500,  0.0076,  0.8880498E+00,  0.8907542E+00, -0.2704346E-02
  0.4011,  0.0076,  0.9489816E+00,  0.9518517E+00, -0.2870043E-02
  0.4501,  0.0076,  0.9844989E+00,  0.9874440E+00, -0.2945101E-02
  0.4951,  0.0076,  0.9966631E+00,  0.9995991E+00, -0.2936010E-02
  0.5350,  0.0076,  0.9908127E+00,  0.9936730E+00, -0.2860235E-02
  0.5692,  0.0076,  0.9734433E+00,  0.9761835E+00, -0.2740188E-02
  0.5977,  0.0076,  0.9504362E+00,  0.9530338E+00, -0.2597618E-02
  0.6208,  0.0076,  0.9261522E+00,  0.9286024E+00, -0.2450163E-02
  0.6392,  0.0076,  0.9033045E+00,  0.9056146E+00, -0.2310118E-02
  0.6537,  0.0076,  0.8832620E+00,  0.8854467E+00, -0.2184704E-02
  0.6649,  0.0076,  0.8664774E+00,  0.8685545E+00, -0.2077076E-02
  0.6735,  0.0076,  0.8528653E+00,  0.8548528E+00, -0.1987499E-02
  0.6801,  0.0076,  0.8420748E+00,  0.8439892E+00, -0.1914401E-02
  0.6850,  0.0076,  0.8336608E+00,  0.8355160E+00, -0.1855256E-02
  0.6888,  0.0076,  0.8271784E+00,  0.8289858E+00, -0.1807353E-02
  0.6916,  0.0076,  0.8222284E+00,  0.8239968E+00, -0.1768366E-02
  0.6937,  0.0076,  0.8184732E+00,  0.8202097E+00, -0.1736556E-02
  0.6953,  0.0076,  0.8156380E+00,  0.8173487E+00, -0.1710680E-02
  0.0047,  0.0127,  0.1470618E-01,  0.1470618E-01,  0.5969357E-13
  0.0063,  0.0127,  0.1965752E-01,  0.1968921E-01, -0.3168985E-04
