"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 1,  0.4520,  0.3952,  0.1527129E+00,  0.1527129E+00, -0.2939075E+01, -0.2939075E+01, -0.6309318E+01, -0.6309298E+01
 1,  0.4830,  0.3952,  0.5427697E-01,  0.5427698E-01, -0.2968621E+01, -0.2968621E+01, -0.6372745E+01, -0.6372725E+01
 1,  0.5117,  0.3952, -0.3745625E-01, -0.3745625E-01, -0.2970846E+01, -0.2970846E+01, -0.6377523E+01, -0.6377502E+01
 1,  0.5380,  0.3952, -0.1208641E+00, -0.1208641E+00, -0.2951746E+01, -0.2951746E+01, -0.6336519E+01, -0.6336499E+01
 1,  0.5615,  0.3952, -0.1951136E+00, -0.1951136E+00, -0.2917502E+01, -0.2917502E+01, -0.6263008E+01, -0.6262988E+01
 1,  0.5824,  0.3952, -0.2600457E+00, -0.2600457E+00, -0.2873784E+01, -0.2873783E+01, -0.6169157E+01, -0.6169138E+01
 1,  0.6007,  0.3952, -0.3160066E+00, -0.3160066E+00, -0.2825327E+01, -0.2825327E+01, -0.6065135E+01, -0.6065116E+01
 1,  0.6166,  0.3952, -0.3636723E+00, -0.3636723E+00, -0.2775776E+01, -0.2775776E+01, -0.5958764E+01, -0.5958745E+01
 1,  0.6302,  0.3952, -0.4038966E+00, -0.4038966E+00, -0.2727716E+01, -0.2727716E+01, -0.5855593E+01, -0.5855575E+01
 1,  0.6418,  0.3952, -0.4375961E+00, -0.4375961E+00, -0.2682815E+01, -0.2682815E+01, -0.5759205E+01, -0.5759187E+01
 1,  0.6516,  0.3952, -0.4656725E+00, -0.4656725E+00, -0.2642014E+01, -0.2642014E+01, -0.5671618E+01, -0.5671600E+01
 1,  0.6599,  0.3952, -0.4889647E+00, -0.4889647E+00, -0.2605715E+01, -0.2605715E+01, -0.5593695E+01, -0.5593677E+01
 1,  0.6668,  0.3952, -0.5082262E+00, -0.5082262E+00, -0.2573948E+01, -0.2573948E+01, -0.5525500E+01, -0.5525482E+01
 1,  0.6726,  0.3952, -0.5241160E+00, -0.5241160E+00, -0.2546504E+01, -0.2546504E+01, -0.5466585E+01, -0.5466568E+01
 1,  0.6774,  0.3952, -0.5372006E+00, -0.5372006E+00, -0.2523037E+01, -0.2523037E+01, -0.5416209E+01, -0.5416192E+01
 1,  0.6814,  0.3952, -0.5479605E+00, -0.5479605E+00, -0.2503136E+01, -0.2503136E+01, -0.5373487E+01, -0.5373470E+01
 1,  0.6847,  0.3952, -0.5567999E+00, -0.5567999E+00, -0.2486369E+01, -0.2486369E+01, -0.5337494E+01, -0.5337477E+01
 1,  0.6874,  0.3952, -0.5640558E+00, -0.5640558E+00, -0.2472319E+01, -0.2472319E+01, -0.5307332E+01, -0.5307315E+01
 1,  0.6897,  0.3952, -0.5700085E+00, -0.5700085E+00, -0.2460595E+01, -0.2460595E+01, -0.5282164E+01, -0.5282145E+01
